🇨🇳央卫113HD咪G,#genre#
CCTV1综合,http://113.98.11.46:3000/608807420#http://mg.cttv.vip/608807420#http://183.129.255.66:8480/hls/1/index.m3u8
CCTV1综合,http://222.134.19.49:8090/629943678#http://mg.cttv.vip/629943678
CCTV2财经,http://113.98.11.46:3000/631780532#http://mg.cttv.vip/631780532
CCTV2财经,http://222.134.19.49:8090/713600957#http://mg.cttv.vip/713600957
CCTV3综艺,http://113.98.11.46:3000/624878271#http://mg.cttv.vip/624878271
CCTV4中文国际,http://113.98.11.46:3000/631780421#http://mg.cttv.vip/631780421
CCTV5体育,http://113.98.11.46:3000/641886683#http://mg.cttv.vip/641886683
CCTV5+体育赛事,http://113.98.11.46:3000/641886773#http://mg.cttv.vip/641886773
CCTV6电影,http://113.98.11.46:3000/624878396#http://mg.cttv.vip/624878396
CCTV7国防军事,http://113.98.11.46:3000/673168121#http://mg.cttv.vip/673168121
CCTV8电视剧,http://113.98.11.46:3000/624878356#http://mg.cttv.vip/624878356
CCTV9纪录,http://113.98.11.46:3000/673168140#http://mg.cttv.vip/673168140
CCTV10科教,http://113.98.11.46:3000/624878405#http://mg.cttv.vip/624878405
CCTV11戏曲,http://113.98.11.46:3000/667987558#http://mg.cttv.vip/667987558
CCTV12社会与法,http://113.98.11.46:3000/673168185#http://mg.cttv.vip/673168185
CCTV13新闻,http://113.98.11.46:3000/608807423#http://mg.cttv.vip/608807423
CCTV14少儿,http://113.98.11.46:3000/624878440#http://mg.cttv.vip/624878440
CCTV15音乐,http://113.98.11.46:3000/673168223#http://mg.cttv.vip/673168223
CCTV17农业农村,http://113.98.11.46:3000/673168256#http://mg.cttv.vip/673168256
CCTV4欧洲,http://113.98.11.46:3000/608807419#http://mg.cttv.vip/608807419
CCTV4美洲,http://113.98.11.46:3000/608807416#http://mg.cttv.vip/608807416
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN,http://113.98.11.46:3000/609017205#http://mg.cttv.vip/609017205
CGTN外语纪录,http://113.98.11.46:3000/609006487#http://mg.cttv.vip/609006487
CGTN阿拉伯语,http://113.98.11.46:3000/609154345#http://mg.cttv.vip/609154345
CGTN西班牙语,http://113.98.11.46:3000/609006450#http://mg.cttv.vip/609006450
CGTN法语,http://113.98.11.46:3000/609006476#http://mg.cttv.vip/609006476
CGTN俄语,http://113.98.11.46:3000/609006446#http://mg.cttv.vip/609006446
老故事,http://113.98.11.46:3000/884121956#http://mg.cttv.vip/884121956
发现之旅,http://113.98.11.46:3000/624878970#http://mg.cttv.vip/624878970
中学生,http://113.98.11.46:3000/708869532#http://mg.cttv.vip/708869532
CHC影迷电影,http://113.98.11.46:3000/952383261#http://mg.cttv.vip/952383261
CHC动作电影,http://113.98.11.46:3000/644368714#http://mg.cttv.vip/644368714
CHC家庭影院,http://113.98.11.46:3000/644368373#http://mg.cttv.vip/644368373
东方卫视,http://113.98.11.46:3000/609017205#http://mg.cttv.vip/609017205
江苏卫视,http://113.98.11.46:3000/623899368#http://mg.cttv.vip/623899368
广东卫视,http://113.98.11.46:3000/608831231#http://mg.cttv.vip/608831231
北京卫视,http://113.98.11.46:3000/630287636#http://mg.cttv.vip/630287636
